Genome,marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,GC,GC std,Genome size,# ambiguous bases,# scaffolds,# contigs,Longest scaffold,Longest contig,N50 (scaffolds),N50 (contigs),Mean scaffold length,Mean contig length,Coding density,Translation table,# predicted genes,GCN0,GCN1,GCN2,GCN3,GCN4,GCN5+
M1011017846,Bacteria,5449,104,58,40,64,0,0,0,0,78.15047021943575,0.0,0.37771694342981194,0.02083417094503286,1274134,0,265,265,26345,26345,5943,5943,4808.052830188679,4808.052830188679,0.8842664900238123,11,1344,"['PF01649', 'PF01509', 'PF00297', 'PF00238', 'PF00237', 'PF01281', 'PF10385', 'PF01632', 'PF00861', 'PF00181', 'PF13603', 'PF00828', 'PF00281', 'PF00333', 'PF01795', 'PF00831', 'PF03947', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF00177', 'PF00562', 'PF00347', 'PF04565', 'PF00410', 'PF00416', 'PF00189', 'PF00673', 'TIGR00967', 'PF02912', 'TIGR03594', 'PF03948', 'PF00366', 'PF00453', 'PF00573', 'PF00411', 'TIGR00392', 'PF02978', 'PF00203']","['PF04563', 'PF00164', 'TIGR03263', 'PF00623', 'PF00687', 'TIGR00250', 'PF01121', 'PF01195', 'PF00886', 'PF06421', 'TIGR00344', 'PF01016', 'PF01000', 'PF00466', 'TIGR00755', 'PF01409', 'PF00318', 'PF01193', 'TIGR00615', 'TIGR00460', 'PF00312', 'PF08529', 'PF00380', 'TIGR03723', 'PF01250', 'PF00338', 'TIGR00019', 'PF00889', 'PF04560', 'TIGR00922', 'PF03946', 'PF00829', 'PF00298', 'PF06071', 'PF05697', 'TIGR00459', 'TIGR00855', 'PF04998', 'PF01668', 'TIGR00084', 'PF02033', 'PF03484', 'TIGR02432', 'TIGR02075', 'PF01196', 'PF01765', 'PF05000', 'PF01018', 'PF04561', 'PF11987', 'PF05491', 'PF01245', 'PF04983', 'PF12344', 'TIGR00329', 'PF08459', 'PF13184', 'TIGR00810', 'PF04997', 'PF02367', 'PF02130', 'PF00572', 'PF01746', 'PF00162']",[],[],[],[]
M1169992633,Bacteria,5449,104,58,41,63,0,0,0,0,73.98119122257053,0.0,0.3751289105486559,0.023743340651599627,1272200,0,326,326,17981,17981,4377,4377,3902.4539877300613,3902.4539877300613,0.8813677094796416,11,1401,"['PF00297', 'PF00238', 'PF00237', 'PF01000', 'PF00861', 'PF00181', 'PF13603', 'PF01193', 'PF00312', 'PF00380', 'PF00828', 'PF00281', 'PF00333', 'PF00338', 'PF01795', 'PF00831', 'PF03947', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF00347', 'PF00410', 'PF00416', 'PF00189', 'PF00673', 'TIGR00967', 'PF03484', 'TIGR03594', 'PF01196', 'PF05000', 'PF01018', 'PF00366', 'PF05491', 'PF12344', 'PF00573', 'PF00411', 'PF00572', 'TIGR00392', 'PF01746', 'PF00203']","['PF04563', 'PF00164', 'TIGR03263', 'PF01649', 'PF00623', 'PF01509', 'PF00687', 'TIGR00250', 'PF01121', 'PF01195', 'PF00886', 'PF06421', 'PF01281', 'TIGR00344', 'PF10385', 'PF01632', 'PF01016', 'PF00466', 'TIGR00755', 'PF01409', 'PF00318', 'TIGR00615', 'TIGR00460', 'PF08529', 'TIGR03723', 'PF01250', 'TIGR00019', 'PF00889', 'PF04560', 'TIGR00922', 'PF03946', 'PF00829', 'PF00298', 'PF06071', 'PF05697', 'PF00177', 'PF00562', 'TIGR00459', 'TIGR00855', 'PF04998', 'PF01668', 'PF04565', 'TIGR00084', 'PF02033', 'TIGR02432', 'PF02912', 'TIGR02075', 'PF01765', 'PF03948', 'PF04561', 'PF11987', 'PF01245', 'PF04983', 'TIGR00329', 'PF08459', 'PF13184', 'PF00453', 'TIGR00810', 'PF04997', 'PF02367', 'PF02130', 'PF02978', 'PF00162']",[],[],[],[]
M1248619108,Bacteria,5449,104,58,34,70,0,0,0,0,79.3103448275862,0.0,0.37749979833202896,0.019350688766036083,1413214,0,226,226,31701,31701,7971,7971,6253.159292035398,6253.159292035398,0.8837118794464249,11,1427,"['PF00164', 'PF01649', 'PF01509', 'PF00297', 'PF00238', 'PF00237', 'PF01016', 'PF00861', 'PF00181', 'PF13603', 'PF00828', 'PF00281', 'PF00333', 'PF00338', 'PF00831', 'PF03947', 'PF00829', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF00177', 'PF00347', 'PF00410', 'PF00189', 'PF00673', 'TIGR00967', 'PF02033', 'TIGR03594', 'PF01018', 'PF00366', 'PF11987', 'PF00573', 'PF00203']","['PF04563', 'TIGR03263', 'PF00623', 'PF00687', 'TIGR00250', 'PF01121', 'PF01195', 'PF00886', 'PF06421', 'PF01281', 'TIGR00344', 'PF10385', 'PF01632', 'PF01000', 'PF00466', 'TIGR00755', 'PF01409', 'PF00318', 'PF01193', 'TIGR00615', 'TIGR00460', 'PF00312', 'PF08529', 'PF00380', 'TIGR03723', 'PF01250', 'TIGR00019', 'PF01795', 'PF00889', 'PF04560', 'TIGR00922', 'PF03946', 'PF00298', 'PF06071', 'PF05697', 'PF00562', 'TIGR00459', 'TIGR00855', 'PF04998', 'PF01668', 'PF04565', 'PF00416', 'TIGR00084', 'PF03484', 'TIGR02432', 'PF02912', 'TIGR02075', 'PF01196', 'PF01765', 'PF03948', 'PF05000', 'PF04561', 'PF05491', 'PF01245', 'PF04983', 'PF12344', 'TIGR00329', 'PF08459', 'PF13184', 'PF00453', 'TIGR00810', 'PF04997', 'PF02367', 'PF02130', 'PF00411', 'PF00572', 'TIGR00392', 'PF01746', 'PF02978', 'PF00162']",[],[],[],[]
M1313391652,Bacteria,5449,104,58,52,49,3,0,0,0,72.15256008359455,3.4482758620689653,0.374433639076141,0.022366157630392437,1303056,0,335,335,16855,16855,4458,4458,3889.719402985075,3889.719402985075,0.8863333578909885,11,1464,"['PF04563', 'PF00623', 'PF01509', 'PF00297', 'PF00238', 'PF00237', 'PF00687', 'PF00886', 'PF10385', 'PF01632', 'PF01000', 'PF00861', 'PF00181', 'PF13603', 'PF01193', 'PF00380', 'PF00281', 'PF01250', 'PF00333', 'PF00338', 'PF04560', 'PF00831', 'PF03947', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF00562', 'TIGR00459', 'PF04998', 'PF00347', 'PF04565', 'PF00410', 'PF00416', 'PF00189', 'PF00673', 'PF02912', 'PF01196', 'PF01765', 'PF05000', 'PF04561', 'PF00366', 'PF01245', 'PF04983', 'PF13184', 'PF00453', 'PF00573', 'PF04997', 'PF00411', 'PF00572', 'TIGR00392', 'PF00203']","['PF00164', 'TIGR03263', 'PF01649', 'TIGR00250', 'PF01121', 'PF01195', 'PF06421', 'PF01281', 'TIGR00344', 'PF00466', 'TIGR00755', 'PF01409', 'PF00318', 'TIGR00615', 'TIGR00460', 'PF00312', 'PF08529', 'PF00828', 'TIGR03723', 'TIGR00019', 'PF01795', 'PF00889', 'TIGR00922', 'PF03946', 'PF00298', 'PF06071', 'PF05697', 'PF00177', 'TIGR00855', 'PF01668', 'TIGR00084', 'TIGR00967', 'PF02033', 'PF03484', 'TIGR02432', 'TIGR02075', 'TIGR03594', 'PF03948', 'PF11987', 'PF05491', 'PF12344', 'TIGR00329', 'PF08459', 'TIGR00810', 'PF02367', 'PF02130', 'PF01746', 'PF02978', 'PF00162']","['PF01016', 'PF00829', 'PF01018']",[],[],[]
M1348880010,Bacteria,5449,104,58,44,59,1,0,0,0,67.7115987460815,1.7241379310344827,0.37618943372272645,0.023490087205088748,1137411,0,304,304,18267,18267,4166,4166,3741.4835526315787,3741.4835526315787,0.8789470121178712,11,1260,"['PF00164', 'PF00623', 'PF01121', 'PF00886', 'PF10385', 'PF01016', 'PF01000', 'PF00861', 'PF01409', 'PF13603', 'PF01193', 'PF08529', 'PF00828', 'PF00281', 'PF01250', 'PF00333', 'PF04560', 'PF00829', 'PF03719', 'TIGR01079', 'PF00177', 'PF00562', 'PF04998', 'PF00347', 'PF01668', 'PF04565', 'PF00410', 'PF00416', 'PF00673', 'TIGR00967', 'PF02033', 'PF02912', 'TIGR03594', 'PF01196', 'PF05000', 'PF11987', 'PF04983', 'PF13184', 'TIGR00810', 'PF04997', 'PF00411', 'TIGR00392', 'PF01746', 'PF02978']","['PF04563', 'TIGR03263', 'PF01649', 'PF01509', 'PF00297', 'PF00238', 'PF00237', 'PF00687', 'TIGR00250', 'PF01195', 'PF06421', 'PF01281', 'TIGR00344', 'PF01632', 'PF00466', 'TIGR00755', 'PF00181', 'PF00318', 'TIGR00615', 'TIGR00460', 'PF00312', 'PF00380', 'TIGR03723', 'PF00338', 'TIGR00019', 'PF00889', 'TIGR00922', 'PF00831', 'PF03947', 'PF03946', 'PF00298', 'PF06071', 'PF00276', 'PF00252', 'PF05697', 'TIGR00459', 'TIGR00855', 'PF00189', 'TIGR00084', 'PF03484', 'TIGR02432', 'TIGR02075', 'PF01765', 'PF03948', 'PF01018', 'PF04561', 'PF00366', 'PF05491', 'PF01245', 'PF12344', 'TIGR00329', 'PF08459', 'PF00453', 'PF00573', 'PF02367', 'PF02130', 'PF00572', 'PF00203', 'PF00162']",['PF01795'],[],[],[]
M1351804467,Bacteria,5449,104,58,53,51,0,0,0,0,56.89655172413793,0.0,0.3835673604639122,0.02071065432063195,965700,0,289,289,10410,10410,3709,3709,3341.522491349481,3341.522491349481,0.8939732836284561,11,1110,"['PF00164', 'TIGR03263', 'PF01649', 'PF01509', 'PF00297', 'PF00238', 'PF00237', 'PF00687', 'PF01121', 'TIGR00344', 'PF01632', 'PF00466', 'PF00861', 'PF01409', 'PF00181', 'PF13603', 'PF00318', 'PF00312', 'PF00380', 'PF00281', 'PF01250', 'PF00333', 'PF00338', 'PF00889', 'PF04560', 'TIGR00922', 'PF00831', 'PF03947', 'PF03946', 'PF00298', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF00177', 'PF00562', 'TIGR00459', 'TIGR00855', 'PF00347', 'PF00410', 'PF00189', 'PF00673', 'PF02033', 'TIGR02075', 'PF00366', 'PF11987', 'PF08459', 'PF13184', 'PF00453', 'PF00573', 'PF00572', 'TIGR00392', 'PF00203']","['PF04563', 'PF00623', 'TIGR00250', 'PF01195', 'PF00886', 'PF06421', 'PF01281', 'PF10385', 'PF01016', 'PF01000', 'TIGR00755', 'PF01193', 'TIGR00615', 'TIGR00460', 'PF08529', 'PF00828', 'TIGR03723', 'TIGR00019', 'PF01795', 'PF00829', 'PF06071', 'PF05697', 'PF04998', 'PF01668', 'PF04565', 'PF00416', 'TIGR00084', 'TIGR00967', 'PF03484', 'TIGR02432', 'PF02912', 'TIGR03594', 'PF01196', 'PF01765', 'PF03948', 'PF05000', 'PF01018', 'PF04561', 'PF05491', 'PF01245', 'PF04983', 'PF12344', 'TIGR00329', 'TIGR00810', 'PF04997', 'PF02367', 'PF02130', 'PF00411', 'PF01746', 'PF02978', 'PF00162']",[],[],[],[]
M1337686151,Bacteria,5449,104,58,8,95,1,0,0,0,89.65517241379311,0.3448275862068966,0.37712618417535976,0.019452089324846412,1444254,0,250,250,33360,33360,7737,7737,5777.016,5777.016,0.8847266478057184,11,1483,"['PF01632', 'PF13603', 'PF08529', 'PF01795', 'TIGR03594', 'PF13184', 'PF00453', 'TIGR00392']","['PF04563', 'PF00164', 'TIGR03263', 'PF01649', 'PF00623', 'PF01509', 'PF00297', 'PF00238', 'PF00237', 'PF00687', 'TIGR00250', 'PF01121', 'PF01195', 'PF00886', 'PF06421', 'PF01281', 'TIGR00344', 'PF10385', 'PF01016', 'PF01000', 'PF00466', 'PF00861', 'TIGR00755', 'PF01409', 'PF00181', 'PF00318', 'TIGR00615', 'TIGR00460', 'PF00312', 'PF00380', 'PF00828', 'PF00281', 'TIGR03723', 'PF01250', 'PF00333', 'PF00338', 'TIGR00019', 'PF00889', 'PF04560', 'TIGR00922', 'PF00831', 'PF03947', 'PF03946', 'PF00829', 'PF00298', 'PF06071', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF05697', 'PF00177', 'PF00562', 'TIGR00459', 'TIGR00855', 'PF04998', 'PF00347', 'PF01668', 'PF04565', 'PF00410', 'PF00416', 'PF00189', 'PF00673', 'TIGR00084', 'TIGR00967', 'PF02033', 'PF03484', 'TIGR02432', 'PF02912', 'TIGR02075', 'PF01196', 'PF01765', 'PF03948', 'PF05000', 'PF01018', 'PF04561', 'PF00366', 'PF11987', 'PF05491', 'PF01245', 'PF04983', 'PF12344', 'TIGR00329', 'PF08459', 'TIGR00810', 'PF00573', 'PF04997', 'PF02367', 'PF02130', 'PF00411', 'PF00572', 'PF01746', 'PF02978', 'PF00203', 'PF00162']",['PF01193'],[],[],[]
M1545738658,Bacteria,5449,104,58,48,54,2,0,0,0,69.09613375130617,3.4482758620689653,0.3744532352787411,0.023438493138007617,1377192,0,300,300,25381,25381,5625,5625,4590.64,4590.64,0.8828296998530343,11,1449,"['PF00164', 'PF00238', 'PF00237', 'PF00687', 'PF01632', 'PF01000', 'PF00466', 'PF00861', 'PF01409', 'PF00181', 'PF13603', 'PF01193', 'PF00312', 'PF00828', 'PF00281', 'PF01250', 'PF00333', 'PF00831', 'PF03947', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF05697', 'PF00177', 'TIGR00459', 'TIGR00855', 'PF04998', 'PF00347', 'PF00410', 'PF00416', 'PF00189', 'PF00673', 'TIGR00967', 'PF02033', 'PF02912', 'TIGR02075', 'PF01196', 'PF01765', 'PF05000', 'PF00366', 'PF11987', 'PF13184', 'PF00453', 'PF00573', 'PF00411', 'TIGR00392', 'PF00203']","['PF04563', 'TIGR03263', 'PF01649', 'PF00623', 'PF01509', 'PF00297', 'TIGR00250', 'PF01121', 'PF00886', 'PF06421', 'PF01281', 'TIGR00344', 'PF10385', 'PF01016', 'TIGR00755', 'PF00318', 'TIGR00615', 'TIGR00460', 'PF08529', 'PF00380', 'TIGR03723', 'PF00338', 'TIGR00019', 'PF00889', 'PF04560', 'TIGR00922', 'PF03946', 'PF00829', 'PF00298', 'PF06071', 'PF00562', 'PF01668', 'PF04565', 'TIGR00084', 'PF03484', 'TIGR02432', 'TIGR03594', 'PF03948', 'PF01018', 'PF04561', 'PF05491', 'PF01245', 'PF04983', 'PF12344', 'TIGR00329', 'PF08459', 'TIGR00810', 'PF04997', 'PF02367', 'PF02130', 'PF00572', 'PF01746', 'PF02978', 'PF00162']","['PF01195', 'PF01795']",[],[],[]
M1659821839,Bacteria,5449,104,58,63,41,0,0,0,0,58.62068965517241,0.0,0.3642543426662136,0.014381678375508494,1180093,0,22,22,281037,281037,79395,79395,53640.59090909091,53640.59090909091,0.8822635165194608,11,1027,"['PF04563', 'PF00164', 'TIGR03263', 'PF00623', 'PF00297', 'PF00238', 'PF00237', 'PF00687', 'PF01195', 'PF01281', 'PF10385', 'PF01000', 'PF00466', 'PF00861', 'TIGR00755', 'PF00181', 'PF13603', 'PF01193', 'TIGR00615', 'TIGR00460', 'PF00828', 'PF00281', 'PF01250', 'PF00333', 'PF00338', 'TIGR00019', 'PF04560', 'TIGR00922', 'PF00831', 'PF03947', 'PF03946', 'PF00298', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF05697', 'PF00177', 'PF00562', 'TIGR00855', 'PF04998', 'PF00347', 'PF01668', 'PF04565', 'PF00410', 'PF00416', 'PF00189', 'PF00673', 'TIGR00967', 'TIGR02432', 'PF01196', 'PF03948', 'PF05000', 'PF04561', 'PF00366', 'PF04983', 'TIGR00810', 'PF00573', 'PF04997', 'PF02130', 'PF00411', 'PF00203', 'PF00162']","['PF01649', 'PF01509', 'TIGR00250', 'PF01121', 'PF00886', 'PF06421', 'TIGR00344', 'PF01632', 'PF01016', 'PF01409', 'PF00318', 'PF00312', 'PF08529', 'PF00380', 'TIGR03723', 'PF01795', 'PF00889', 'PF00829', 'PF06071', 'TIGR00459', 'TIGR00084', 'PF02033', 'PF03484', 'PF02912', 'TIGR02075', 'TIGR03594', 'PF01765', 'PF01018', 'PF11987', 'PF05491', 'PF01245', 'PF12344', 'TIGR00329', 'PF08459', 'PF13184', 'PF00453', 'PF02367', 'PF00572', 'TIGR00392', 'PF01746', 'PF02978']",[],[],[],[]
M1729578718,Bacteria,5449,104,58,44,60,0,0,0,0,72.41379310344827,0.0,0.37529072544267744,0.021391694931360273,1413275,0,287,287,30498,30498,5733,5733,4924.303135888502,4924.303135888502,0.8834466045178752,11,1490,"['PF00164', 'PF00297', 'PF00238', 'PF00237', 'PF01632', 'PF01000', 'PF00861', 'PF00181', 'PF00318', 'PF01193', 'PF08529', 'PF00828', 'PF00281', 'PF00333', 'PF00338', 'PF00889', 'PF00831', 'PF03947', 'PF00276', 'PF03719', 'TIGR01079', 'PF00252', 'PF00177', 'TIGR00459', 'PF00347', 'PF00410', 'PF00416', 'PF00189', 'PF00673', 'TIGR00967', 'PF02033', 'TIGR02075', 'TIGR03594', 'PF01196', 'PF01765', 'PF00366', 'PF11987', 'PF05491', 'PF13184', 'PF00453', 'PF00573', 'PF00411', 'TIGR00392', 'PF00203']","['PF04563', 'TIGR03263', 'PF01649', 'PF00623', 'PF01509', 'PF00687', 'TIGR00250', 'PF01121', 'PF01195', 'PF00886', 'PF06421', 'PF01281', 'TIGR00344', 'PF10385', 'PF01016', 'PF00466', 'TIGR00755', 'PF01409', 'PF13603', 'TIGR00615', 'TIGR00460', 'PF00312', 'PF00380', 'TIGR03723', 'PF01250', 'TIGR00019', 'PF01795', 'PF04560', 'TIGR00922', 'PF03946', 'PF00829', 'PF00298', 'PF06071', 'PF05697', 'PF00562', 'TIGR00855', 'PF04998', 'PF01668', 'PF04565', 'TIGR00084', 'PF03484', 'TIGR02432', 'PF02912', 'PF03948', 'PF05000', 'PF01018', 'PF04561', 'PF01245', 'PF04983', 'PF12344', 'TIGR00329', 'PF08459', 'TIGR00810', 'PF04997', 'PF02367', 'PF02130', 'PF00572', 'PF01746', 'PF02978', 'PF00162']",[],[],[],[]
