locus_tag	ftype	length_bp	gene	EC_number	COG	product
MANLFPEH_00001	gene	564				
MANLFPEH_00001	CDS	564				hypothetical protein
MANLFPEH_00002	gene	735				
MANLFPEH_00002	CDS	735		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
MANLFPEH_00003	gene	453	mrnC			
MANLFPEH_00003	CDS	453	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
MANLFPEH_00004	gene	1404	cysS			
MANLFPEH_00004	CDS	1404	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
MANLFPEH_00005	gene	2514				
MANLFPEH_00005	CDS	2514				hypothetical protein
MANLFPEH_00006	gene	756				
MANLFPEH_00006	CDS	756				hypothetical protein
MANLFPEH_00007	gene	1584				
MANLFPEH_00007	CDS	1584				hypothetical protein
MANLFPEH_00008	gene	1188				
MANLFPEH_00008	CDS	1188				hypothetical protein
MANLFPEH_00009	gene	822	mscS			
MANLFPEH_00009	CDS	822	mscS		COG0668	Small-conductance mechanosensitive channel
MANLFPEH_00010	gene	771	rhmA			
MANLFPEH_00010	CDS	771	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
MANLFPEH_00011	gene	183				
MANLFPEH_00011	CDS	183				hypothetical protein
MANLFPEH_00012	gene	774	sigB			
MANLFPEH_00012	CDS	774	sigB		COG1191	RNA polymerase sigma-B factor
MANLFPEH_00013	gene	408	rsbW			
MANLFPEH_00013	CDS	408	rsbW	2.7.11.1	COG2172	Serine-protein kinase RsbW
MANLFPEH_00014	gene	318	rsbV			
MANLFPEH_00014	CDS	318	rsbV		COG1366	Anti-sigma-B factor antagonist
MANLFPEH_00015	gene	2439	gyrA			
MANLFPEH_00015	CDS	2439	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MANLFPEH_00016	gene	1908	gyrB			
MANLFPEH_00016	CDS	1908	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
MANLFPEH_00017	gene	1116	recF			
MANLFPEH_00017	CDS	1116	recF		COG1195	DNA replication and repair protein RecF
MANLFPEH_00018	gene	210				
MANLFPEH_00018	CDS	210				hypothetical protein
MANLFPEH_00019	gene	1104	dnaN			
